"relative.time.stamp,""annotation.inductive.proximity.sensor"",""annotation.analog.pressure.lower.back"",""annotation.bending.sensor.left"",""annotation.bending.sensor.right"",""annotation.digital.pressure.left.shoulder"",""annotation.digital.pressure.right.shoulder"",""annotation.any.activity"",""inductive.proximity.sensor"",""analog.pressure.lower.back"",""bending.sensor.left"",""bending.sensor.right"",""digital.pressure.left.shoulder"",""digital.pressure.right.shoulder"""
21571,0,0,0,0,0,0,0,0,0,0,0,0,0
21677,0,0,0,0,0,0,0,0,0,0,0,0,0
21869,0,0,0,0,0,0,0,0,0,0,0,0,0
22061,0,0,0,0,0,0,0,0,0,837,0,0,0
22253,0,0,0,0,0,0,0,0,0,593,0,0,0
22461,0,0,0,0,0,0,0,0,0,461,0,0,0
22653,0,0,0,0,0,0,0,0,0,848,0,0,0
22845,0,0,0,0,0,0,0,0,0,846,0,0,0
23047,0,0,0,0,0,0,0,0,0,838,0,0,0
23244,0,0,0,0,0,0,0,0,0,840,0,0,0
23436,0,0,0,0,0,0,0,0,0,843,0,0,0
23628,0,0,0,0,0,0,0,0,0,839,0,0,0
23820,0,0,0,0,0,0,0,0,0,833,0,0,0
24012,0,0,0,0,0,0,0,0,0,828,0,0,0
24237,0,0,0,0,0,0,0,0,0,546,0,0,0
24412,0,0,0,0,0,0,0,0,0,533,0,0,0
24604,0,0,0,0,0,0,0,0,0,151,0,0,0
24796,0,0,0,0,0,0,0,0,0,382,0,0,0
25003,0,0,0,0,0,0,0,0,0,550,0,0,0
25195,0,0,0,0,0,0,0,0,0,0,0,0,0
25387,0,0,0,0,0,0,0,0,0,0,0,0,0
25579,0,0,0,0,0,0,0,0,0,0,0,0,0
25782,0,0,0,0,0,0,0,0,0,235,0,0,0
25979,0,0,0,0,0,0,0,0,0,0,0,0,0
26171,0,0,0,0,0,0,0,0,0,57,0,0,0
26380,0,0,0,0,0,0,0,0,0,0,0,0,0
26555,0,0,0,0,0,0,0,0,0,842,0,0,0
26749,0,0,0,0,0,0,0,0,0,678,0,0,0
26955,0,0,0,0,0,0,0,0,0,602,0,0,0
27147,0,0,0,0,0,0,0,0,0,479,0,0,0
27339,0,0,0,0,0,0,0,0,0,537,0,0,0
27531,0,0,0,0,0,0,0,0,0,361,0,0,0
27739,0,0,0,0,0,0,0,0,0,854,0,0,0
27931,0,0,0,0,0,0,0,0,0,852,0,0,0
28125,0,0,0,0,0,0,0,0,0,561,0,0,0
28314,0,0,0,0,0,0,0,0,0,605,0,0,0
28507,0,0,0,0,0,0,0,0,0,493,0,0,0
28714,0,0,0,0,0,0,0,0,0,627,0,0,0
28907,0,0,0,0,0,0,0,0,0,487,0,0,0
29098,0,0,0,0,0,0,0,0,0,533,0,0,0
29395,0,0,0,0,0,0,0,0,0,716,0,0,0
29566,0,0,0,0,0,0,0,0,0,857,0,0,0
29690,0,0,0,0,0,0,0,0,0,855,0,0,0
29986,0,0,0,0,0,0,0,0,0,810,0,0,0
30218,0,0,0,0,0,0,0,0,0,432,0,0,0
30265,0,0,0,0,0,0,0,0,0,0,0,0,0
30457,0,0,0,0,0,0,0,0,0,0,0,0,0
30665,0,0,0,0,0,0,0,0,0,0,0,0,0
30857,0,0,0,0,0,0,0,0,0,0,0,0,0
31049,0,0,0,0,0,0,0,0,0,19,0,0,0
31241,0,0,0,0,0,0,0,0,0,16,0,0,0
31449,0,0,0,0,0,0,0,0,0,0,0,0,0
31641,0,0,0,0,0,0,0,0,0,0,0,0,0
31833,0,0,0,0,0,0,0,0,0,0,0,0,0
32640,0,0,0,0,0,0,0,0,0,0,0,0,0
32640,0,0,0,0,0,0,0,0,0,0,0,0,0
32641,0,0,0,0,0,0,0,0,0,0,0,0,0
32641,0,0,0,0,0,0,0,0,0,0,0,0,0
32809,0,0,0,0,0,0,0,0,0,0,0,0,0
33001,0,0,0,0,0,0,0,0,0,0,0,0,0
33193,0,0,0,0,0,0,0,0,0,0,0,0,0
33404,0,0,0,0,0,0,0,0,0,0,0,0,0
33593,0,0,0,0,0,0,0,0,0,0,0,0,0
33784,0,0,0,0,0,0,0,0,0,0,0,0,0
33976,0,0,0,0,0,0,0,0,0,0,0,0,0
34168,0,0,0,0,0,0,0,0,0,0,0,0,0
34376,0,0,0,0,0,0,0,0,0,0,0,0,0
34568,0,0,0,0,0,0,0,0,0,0,0,0,0
34766,0,0,0,0,0,0,0,0,0,0,0,0,0
34952,0,0,0,0,0,0,0,0,0,0,0,0,0
35144,0,0,0,0,0,0,0,0,0,0,0,0,0
35364,0,0,0,0,0,0,0,0,0,0,0,0,0
35544,0,0,0,0,0,0,0,0,0,0,0,0,0
35736,0,0,0,0,0,0,0,0,0,0,0,0,0
35928,0,0,0,0,0,0,0,0,0,0,0,0,0
36135,0,0,0,0,0,0,0,0,0,0,0,0,0
36354,0,0,0,0,0,0,0,7,0,707,0,0,0
36519,0,0,0,0,0,0,0,0,0,652,0,0,0
36711,0,0,0,0,0,0,0,0,0,722,0,0,0
36919,0,0,0,0,0,0,0,0,0,784,0,0,0
37111,0,0,0,0,0,0,0,0,0,798,0,0,0
37304,0,0,0,0,0,0,0,0,0,775,0,0,0
37495,0,0,0,0,0,0,0,0,0,769,0,0,0
37689,0,0,0,0,0,0,0,0,0,825,0,0,0
37895,0,0,0,0,0,0,0,0,1,844,0,0,0
38087,0,0,0,0,0,0,0,0,0,0,0,0,0
38280,0,0,0,0,0,0,0,0,0,0,0,0,0
38471,0,0,0,0,0,0,0,0,0,0,0,0,0
38663,0,0,0,0,0,0,0,0,0,0,0,0,0
38908,0,0,0,0,0,0,0,0,0,0,0,0,0
39062,0,0,0,0,0,0,0,0,0,420,0,0,0
39255,0,0,0,0,0,0,0,0,0,834,0,0,0
39446,0,0,0,0,0,0,0,0,0,845,0,0,0
39689,0,0,0,0,0,0,1,0,0,850,0,0,0
40054,0,0,0,0,0,0,1,0,0,839,0,0,0
40055,0,0,0,0,0,0,1,0,0,822,0,0,0
40294,0,0,0,0,0,0,1,0,0,681,0,0,0
40422,0,0,0,0,0,0,1,0,0,859,0,0,0
40630,0,0,0,0,0,0,1,0,0,736,0,0,0
40822,0,0,0,0,0,0,1,0,0,841,0,0,0
41014,0,0,0,0,0,0,1,0,0,847,0,0,0
41205,0,0,0,0,0,0,1,0,0,858,0,0,0
41413,0,0,0,0,0,0,1,0,0,858,0,0,0
41606,0,0,0,0,0,0,1,0,0,848,0,0,0
41797,0,0,0,0,0,0,1,0,0,833,0,0,0
41989,0,0,0,0,0,0,1,0,0,742,0,0,0
42182,0,0,0,0,0,0,1,0,0,712,0,0,0
42799,0,0,0,0,0,0,0,0,0,833,0,0,0
42799,0,0,0,0,0,0,0,0,0,743,0,0,0
42799,0,0,0,0,0,0,0,0,0,670,0,0,0
42964,0,0,0,0,0,0,0,0,0,673,0,0,0
43173,0,0,0,0,0,0,0,0,0,646,0,0,0
43368,0,0,0,0,0,0,0,0,0,832,0,0,0
43556,0,0,0,0,0,0,0,0,0,649,0,0,0
43761,0,0,0,0,0,0,0,0,0,850,0,0,0
43940,0,0,0,0,0,0,0,0,0,553,0,0,0
44148,0,0,0,0,0,0,0,0,0,504,0,0,0
44340,0,0,0,0,0,0,0,0,0,649,0,0,0
44532,0,0,0,0,0,0,0,0,0,279,0,0,0
44724,0,0,0,0,0,0,0,0,0,839,0,0,0
44932,0,0,0,0,0,0,0,0,0,823,0,0,0
45137,0,0,0,0,0,0,0,0,0,818,0,0,0
45336,0,0,0,0,0,0,1,0,0,831,0,0,0
45737,0,0,0,0,0,0,1,0,0,858,0,0,0
45738,0,0,0,0,0,0,1,0,0,562,0,0,0
45907,0,0,0,0,0,0,1,0,0,0,0,0,0
46099,0,0,0,0,0,0,1,0,0,0,0,0,0
46650,0,0,0,0,0,0,1,0,0,0,0,0,0
46650,0,0,0,0,0,0,1,0,0,0,0,0,0
46674,0,0,0,0,0,0,1,0,0,0,0,0,0
46882,0,0,0,0,0,0,1,0,0,0,0,0,0
47075,0,0,0,0,0,0,1,0,0,0,0,0,0
47266,0,0,0,0,0,0,1,0,0,0,0,0,0
47458,0,0,0,0,0,0,1,0,0,0,0,0,0
47673,0,0,0,0,0,0,0,0,0,0,0,0,0
47858,0,0,0,0,0,0,0,0,0,91,0,0,0
48051,0,0,0,0,0,0,0,0,0,68,0,0,0
